Date,CSI300,GSYH
10/1/17,3161.670898,4.260196
11/1/17,3136.753906,4.269747
12/1/17,3119.289063,4.269747
13/1/17,3112.763916,4.288851
16/1/17,3103.427979,4.346164
17/1/17,3108.774902,4.32706
18/1/17,3113.011963,4.32706
19/1/17,3101.299072,4.32706
20/1/17,3123.138916,4.317508
23/1/17,3136.774902,4.32706
24/1/17,3142.552979,4.346164
25/1/17,3149.554932,4.355716
26/1/17,3159.166016,4.393924
3/2/17,3140.169922,4.355716
6/2/17,3156.983887,4.355716
7/2/17,3153.087891,4.346164
8/2/17,3166.981934,4.355716
9/2/17,3183.178955,4.365268
10/2/17,3196.698975,4.384372
13/2/17,3216.839111,4.413028
14/2/17,3217.927979,4.413028
15/2/17,3212.986084,4.47034
16/2/17,3229.61792,4.47034
17/2/17,3202.075928,4.432132
20/2/17,3239.960938,4.460788
21/2/17,3253.325928,4.47034
22/2/17,3261.218018,4.489443
23/2/17,3251.375,4.498996
24/2/17,3253.433105,4.489443
27/2/17,3228.659912,4.479892
28/2/17,3241.73291,4.479892
1/3/17,3246.934082,4.47034
2/3/17,3230.028076,4.460788
3/3/17,3218.312012,4.441684
6/3/17,3233.865967,4.432132
7/3/17,3242.406006,4.47034
8/3/17,3240.665039,4.479892
9/3/17,3216.746094,4.489443
10/3/17,3212.76001,4.498996
13/3/17,3237.023926,4.5181
14/3/17,3239.327881,4.546756
15/3/17,3241.76001,4.537204
16/3/17,3268.935059,4.489443
17/3/17,3237.447021,4.479892
20/3/17,3250.808105,4.498996
21/3/17,3261.611084,4.498996
22/3/17,3245.219971,4.451236
23/3/17,3248.550049,4.460788
24/3/17,3269.445068,4.479892
27/3/17,3266.955078,4.537204
28/3/17,3252.947998,4.537204
29/3/17,3241.313965,4.56586
30/3/17,3210.237061,4.594516
31/3/17,3222.513916,4.623172
5/4/17,3270.304932,4.632724
6/4/17,3281.004883,4.61362
7/4/17,3286.615967,4.642276
10/4/17,3269.393066,4.61362
11/4/17,3288.966064,4.584964
12/4/17,3273.830078,4.632724
13/4/17,3275.959961,4.594516
14/4/17,3244.48291,4.594516
17/4/17,3222.166992,4.61362
18/4/17,3196.712891,4.575412
19/4/17,3170.687012,4.527651
20/4/17,3172.100098,4.5181
21/4/17,3173.150879,4.594516
24/4/17,3129.531006,4.604068
25/4/17,3134.566895,4.594516
26/4/17,3140.846924,4.651828
27/4/17,3152.187012,4.66138
28/4/17,3154.657959,4.66138
2/5/17,3143.711914,4.604068
3/5/17,3135.345947,4.594516
4/5/17,3127.368896,4.594516
5/5/17,3103.038086,4.642276
8/5/17,3078.613037,4.680484
9/5/17,3080.5271,4.651828
10/5/17,3052.784912,4.680484
11/5/17,3061.5,4.70914
12/5/17,3083.512939,4.833316
15/5/17,3090.229004,4.871524
16/5/17,3112.964111,4.776004
17/5/17,3104.441895,4.737796
18/5/17,3090.138916,4.776004
19/5/17,3090.631104,4.7569
22/5/17,3075.676025,4.80466
23/5/17,3061.947021,4.871524
24/5/17,3064.075928,4.881076
25/5/17,3107.831055,4.928836
26/5/17,3110.059082,4.9957
31/5/17,3117.177979,5.014804
1/6/17,3102.623047,5.072116
2/6/17,3105.540039,5.062564
5/6/17,3091.656006,4.909732
6/6/17,3102.125977,4.909732
7/6/17,3140.324951,4.928836
8/6/17,3150.333984,4.928836
9/6/17,3158.399902,4.928836
12/6/17,3139.876953,4.919284
13/6/17,3153.74292,4.919284
14/6/17,3130.674072,4.919284
15/6/17,3132.486084,4.823764
16/6/17,3123.166016,4.814212
19/6/17,3144.374023,4.776004
20/6/17,3140.013916,4.814212
21/6/17,3156.211914,4.823764
22/6/17,3147.452881,4.871524
23/6/17,3157.873047,4.909732
26/6/17,3185.444092,4.881076
27/6/17,3191.197021,4.861972
28/6/17,3173.200928,4.842868
29/6/17,3188.062988,4.94794
30/6/17,3192.427002,5.014804
3/7/17,3195.912109,5.005252
4/7/17,3182.803955,5.014804
5/7/17,3207.134033,4.9957
6/7/17,3212.444092,4.9957
7/7/17,3217.957031,4.976596
10/7/17,3212.63208,4.9957
11/7/17,3203.038086,5.06
12/7/17,3197.543945,5.08
13/7/17,3218.163086,5.16
14/7/17,3222.416992,5.17
17/7/17,3176.465088,5.34
18/7/17,3187.566895,5.28
19/7/17,3230.976074,5.27
20/7/17,3244.86499,5.29
21/7/17,3237.981934,5.33
24/7/17,3250.599121,5.39
25/7/17,3243.688965,5.48
26/7/17,3247.675049,5.6
27/7/17,3249.781006,5.53
28/7/17,3253.23999,5.55
31/7/17,3273.028076,5.51
1/8/17,3292.637939,5.56
2/8/17,3285.056885,5.7
3/8/17,3272.928955,5.66
4/8/17,3262.081055,5.67
7/8/17,3279.457031,5.66
8/8/17,3281.873047,5.68
9/8/17,3275.572998,5.54
10/8/17,3261.749023,5.52
11/8/17,3208.541016,5.55
14/8/17,3237.360107,5.49
15/8/17,3251.261963,5.61
16/8/17,3246.450928,5.63
17/8/17,3268.429932,5.62
18/8/17,3268.724121,5.62
21/8/17,3286.906006,5.63
22/8/17,3290.226074,5.69
23/8/17,3287.705078,5.85
24/8/17,3271.511963,5.92
25/8/17,3331.521973,6.16
28/8/17,3362.650879,6.05
29/8/17,3365.226074,6.08
30/8/17,3363.626953,5.97
31/8/17,3360.810059,5.9
1/9/17,3367.118896,5.79
4/9/17,3379.835938,5.88
5/9/17,3384.316895,5.95
6/9/17,3385.388916,5.9
7/9/17,3365.49707,5.88
8/9/17,3365.24292,5.9
11/9/17,3376.418945,5.89
12/9/17,3379.488037,5.93
13/9/17,3384.146973,5.93
14/9/17,3371.426025,5.88
15/9/17,3353.618896,5.77
18/9/17,3362.858887,5.76
19/9/17,3356.844971,5.78
20/9/17,3365.996094,5.79
21/9/17,3357.812012,5.95
22/9/17,3352.529053,5.98
25/9/17,3341.549072,6.11
26/9/17,3343.583008,6.07
27/9/17,3345.271973,6.02
28/9/17,3339.64209,6.05
29/9/17,3348.943115,6
9/10/17,3374.37793,6.1
10/10/17,3382.988037,6.14
11/10/17,3388.283936,6.2
12/10/17,3386.100098,6.21
13/10/17,3390.522949,6.14
16/10/17,3378.469971,6.21
17/10/17,3372.041016,6.15
18/10/17,3381.793945,6.28
19/10/17,3370.172119,6.34
20/10/17,3378.647949,6.24
23/10/17,3380.698975,6.19
24/10/17,3388.248047,6.23
25/10/17,3396.897949,6.16
26/10/17,3407.566895,6.05
27/10/17,3416.812012,6.19
30/10/17,3390.336914,6.25
31/10/17,3393.342041,6.1
1/11/17,3395.913086,6.09
2/11/17,3383.310059,6.09
3/11/17,3371.743896,6.1
6/11/17,3388.174072,6.05
7/11/17,3413.574951,6.07
8/11/17,3415.459961,6.04
9/11/17,3427.794922,5.94
10/11/17,3432.673096,5.82
13/11/17,3447.835938,5.96
14/11/17,3429.548096,5.91
15/11/17,3402.524902,5.91
16/11/17,3399.25,5.85
17/11/17,3382.907959,6.03
20/11/17,3392.398926,6.11
21/11/17,3410.498047,6.12
22/11/17,3430.464111,6.23
23/11/17,3352.989014,6.12
24/11/17,3353.821045,6.07
27/11/17,3322.22998,5.98
28/11/17,3333.656982,5.92
29/11/17,3337.862061,5.92
30/11/17,3317.187988,5.92
1/12/17,3317.616943,5.89
4/12/17,3309.61792,5.89
5/12/17,3303.675049,6
6/12/17,3293.965088,5.97
7/12/17,3272.053955,5.9
8/12/17,3289.991943,5.88
11/12/17,3322.196045,5.89
12/12/17,3280.813965,5.84
13/12/17,3303.037109,5.9
14/12/17,3292.438965,5.89
15/12/17,3266.136963,5.85
18/12/17,3267.922119,5.92
19/12/17,3296.538086,5.98
20/12/17,3287.605957,5.97
21/12/17,3300.059082,5.96
22/12/17,3297.062988,5.92
25/12/17,3280.839111,6
26/12/17,3306.125,6.08
27/12/17,3275.782959,6.05
28/12/17,3296.38501,6.14
29/12/17,3307.172119,6.2
2/1/18,3348.325928,6.18
3/1/18,3369.10791,6.16
4/1/18,3385.709961,6.07
5/1/18,3391.75,6.08
8/1/18,3409.47998,6.07
9/1/18,3413.899902,6.09
10/1/18,3421.834229,6.16